Id;Designator;Footprint;Quantity;Designation;JLC ref;Link
1;R5,R1,R9;R_0402_1005Metric;3;1k;C2906899;https://jlcpcb.com/partdetail/Fojan-FRC0402J102TS/C2906899
2;C1,C6,C2;C_0402_1005Metric;3;4.7uF;C76996;https://jlcpcb.com/partdetail/MurataElectronics-GRM155R60J475ME87D/C76996
3;C5,C9,C8;C_0402_1005Metric;3;100nF;C115671;https://jlcpcb.com/partdetail/116919-C0402X7R104K160NTB/C115671
4;C3,C4;C_0402_1005Metric;2;1uF;C3009903;https://jlcpcb.com/partdetail/Viiyong-V105K0402X5R160NBT/C3009903
5;R11,R7,R12,R6,R2;R_0402_1005Metric;5;10k;C100572;https://jlcpcb.com/partdetail/LizElec-CR0402JF0103G/C100572
6;J1;USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal;1;USB_C_Receptacle_USB2.0_16P;C963413;https://jlcpcb.com/partdetail/gswitch-GT_USB7010AO/C963413
7;U1;SOT-23-6;1;BQ21040DBVR;C202311;https://jlcpcb.com/partdetail/TexasInstruments-BQ21040DBVR/C202311
8;D2;D_SOD-523;1;1N5819WS;C191023;https://jlcpcb.com/partdetail/GuangdongHottech-1N5819WS/C191023
9;D3;LED_0603_1608Metric;1;BLUE_STATUS;C5151484;https://jlcpcb.com/partdetail/Amicc-A_SP192YB1C_A014T/C5151484
10;R3,R4,R8;R_0402_1005Metric;3;5.1K;C100665;https://jlcpcb.com/partdetail/LizElec-CR0402JF0512G/C100665
11;L1;L_0805_2012Metric;1;4.7uH;C1330762;https://jlcpcb.com/partdetail/MurataElectronics-LQM21PZ4R7NGRD/C1330762
12;SW2,SW1;SW_SPST_B3U-1000P;2;b3u-1000p;C231329;https://jlcpcb.com/partdetail/OmronElectronics-B3U1000P/C231329
13;R15;R_0402_1005Metric;1;1M;C2906900;https://jlcpcb.com/partdetail/Fojan-FRC0402J105TS/C2906900
14;D1;LED_0603_1608Metric;1;ORANGE_CHG;C965801;https://jlcpcb.com/partdetail/Xinglight-XL_1608UOC04/C965801
15;J2;JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal;1;JST_SH SM02B-SRSS-TB;C160402;https://jlcpcb.com/partdetail/Jst-SM02B_SRSS_TB_LF_SN/C160402
16;SW3;SW_SPDT_PCM12;1;TA-3524A-A1;C514014;https://jlcpcb.com/partdetail/Yuandi-TA_3524AA1/C514014
17;Q1;SOT-323_SC-70;1;NTS2101PT1G;C140583;https://jlcpcb.com/partdetail/Onsemi-NTS2101PT1G/C140583
18;R13,R10,R14;R_0402_1005Metric;3;220k;C100311;https://jlcpcb.com/partdetail/LizElec-CR0402FF2203G/C100311
19;U2;SOT-363_SC-70-6;1;SMF05CT1G;C15879;https://jlcpcb.com/partdetail/Onsemi-SMF05CT1G/C15879
20;U5;Bosch_LGA-14_3x2.5mm_P0.5mm;1;BMI270;C2836813;https://jlcpcb.com/partdetail/BoschSensortec-BMI270/C2836813
21;U3;SOT-23-5;1;M3406-ADJ;C83224;https://jlcpcb.com/partdetail/xi_an_AerosemiTech-M3406ADJ/C83224
22;C7;C_0402_1005Metric;1;10uF;C703695;https://jlcpcb.com/partdetail/739611-ZRB15XR60J106ME12D/C703695
23;U4;ESP32-C3-WROOM-02;1;ESP32-C3-WROOM-02;C2934560;https://jlcpcb.com/partdetail/3281215-ESP32_C3_WROOM_02N4/C2934560
